Variety,Rep,X,Y
V1,1,227,48.25
V2,1,248,99.5
V3,1,249,43.5
V4,1,264,52.5
V5,1,271,83.31
V6,1,269,65.31
V7,1,218,44.19
V8,1,252,39.5
V1,2,226,56.25
V2,2,218,85.5
V3,2,256,58.5
V4,2,252,43.5
V5,2,263,62.25
V6,2,260,68.5
V7,2,259,54
V8,2,237,34.5
V1,3,259,48.34
V2,3,234,54.5
V3,3,270,48.5
V4,3,248,40.2
V5,3,259,6.13
V6,3,239,52.88
V7,3,214,46.69
V8,3,230,26.5
V1,4,140,37.5
V2,4,217,78.5
V3,4,256,57.5
V4,4,261,73
V5,4,194,66.06
V6,4,103,36.25
V7,4,226,59.5
V8,4,241,37.13
