Task,Employee,Pulse
1,1,27
1,2,31
1,3,26
1,4,32
1,5,39
1,6,37
1,7,38
1,8,39
1,9,30
1,10,28
1,11,27
1,12,27
1,13,34
2,1,29
2,2,28
2,3,37
2,4,24
2,5,35
2,6,40
2,7,40
2,8,31
2,9,30
2,10,25
2,11,29
2,12,25
3,1,34
3,2,36
3,3,34
3,4,41
3,5,30
3,6,44
3,7,44
3,8,32
3,9,32
3,10,31
4,1,34
4,2,34
4,3,43
4,4,44
4,5,40
4,6,47
4,7,34
4,8,31
4,9,45
4,10,28
5,1,28
5,2,28
5,3,26
5,4,35
5,5,31
5,6,30
5,7,34
5,8,34
5,9,26
5,10,20
5,11,41
5,12,21
6,1,28
6,2,26
6,3,29
6,4,25
6,5,35
6,6,34
6,7,37
6,8,28
6,9,21
6,10,28
6,11,26
